,Unnamed: 0,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
1738,1738,F31154,161.0,E,5.0,2020-02-17 08:57:52.000,2020-02-17,2020-02-19 00:00:00,2020-03-18,,3700.000000000001,0.0,0.0
1739,1739,F31155,1289.0,E,5.0,2020-02-17 09:11:42.000,2020-02-17,2020-02-17 00:00:00,2020-03-18,,5631.18,0.0,0.0
1752,1752,F31168,161.0,E,5.0,2020-02-18 09:47:50.000,2020-02-18,2020-02-19 00:00:00,2020-03-19,,1230.0,0.0,0.0
1763,1763,F31179,7060.0,E,5.0,2020-02-18 15:47:14.000,2020-02-18,2020-02-18 00:00:00,2020-02-18,,1309.6364,0.0,0.0
1785,1785,F31201,3825.0,E,5.0,2020-02-20 08:24:12.000,2020-02-20,2020-02-20 00:00:00,2020-03-21,,1020.6,0.0,0.0
1812,1812,F31228,7051.0,E,5.0,2020-02-21 11:45:30.000,2020-02-21,2020-02-17 00:00:00,2020-02-21,,4745.0,0.0,0.0
1818,1818,F31234,7060.0,E,5.0,2020-02-21 17:14:26.000,2020-02-21,2020-02-21 00:00:00,2020-02-21,,1199.0,0.0,0.0
1822,1822,F31238,161.0,E,5.0,2020-02-24 09:05:48.000,2020-02-24,2020-02-26 00:00:00,2020-03-25,,1954.0,0.0,0.0
1859,1859,F31275,7076.0,E,5.0,2020-02-26 10:41:51.000,2020-02-26,2020-02-26 00:00:00,2020-02-26,,999.9068,0.0,0.0
1904,1904,F31320,7067.0,E,5.0,2020-02-28 12:47:38.000,2020-02-28,2020-02-28 00:00:00,2020-02-28,,27753.000000000004,0.0,0.0
1918,1918,F31334,2610.0,E,5.0,2020-02-28 17:25:40.000,2020-02-28,2020-02-24 00:00:00,2020-02-28,,6935.400000000001,0.0,0.0
1936,1936,F31352,7075.0,E,5.0,2020-02-28 19:19:49.000,2020-02-28,2020-02-28 00:00:00,2020-02-28,,4100.0,0.0,0.0
1949,1949,F31365,7060.0,E,5.0,2020-03-03 09:28:49.000,2020-03-03,2020-03-02 00:00:00,2020-03-03,,2398.0,0.0,0.0
1972,1972,F31388,7055.0,E,5.0,2020-03-03 16:52:54.000,2020-03-03,2020-03-03 00:00:00,2020-03-03,,1443.5,0.0,0.0
1996,1996,F31412,7090.0,E,5.0,2020-03-05 08:15:05.000,2020-03-05,2020-03-05 00:00:00,2020-03-05,,360.0,0.0,0.0
2017,2017,F31433,1429.0,E,5.0,2020-03-06 18:10:02.000,2020-03-06,2020-02-27 00:00:00,2020-04-05,,21437.5,0.0,0.0
2018,2018,F31434,1429.0,E,5.0,2020-03-06 18:11:44.000,2020-03-06,2020-03-06 00:00:00,2020-04-05,,12862.35,0.0,0.0
2019,2019,F31435,161.0,E,5.0,2020-03-09 08:56:24.000,2020-03-09,2020-03-05 00:00:00,2020-04-08,,2000.0,0.0,0.0
2021,2021,F31437,2385.0,E,5.0,2020-03-09 09:21:03.000,2020-03-09,2020-03-06 00:00:00,2020-04-08,,93360.0,0.0,0.0
2031,2031,F31447,2385.0,E,5.0,2020-03-09 17:35:26.000,2020-03-09,2020-03-12 00:00:00,2020-04-08,,480.0,0.0,0.0
2047,2047,F31463,5894.0,E,5.0,2020-03-11 08:57:44.000,2020-03-11,2020-03-12 00:00:00,2020-04-10,,6586.5,0.0,0.0
2058,2058,F31474,3612.0,E,5.0,2020-03-11 16:49:19.000,2020-03-11,2020-03-11 00:00:00,2020-05-10,,1236.0,0.0,0.0
2059,2059,F31475,3612.0,E,5.0,2020-03-11 16:55:54.000,2020-03-11,2020-03-11 00:00:00,2020-05-10,,1440.0,0.0,0.0
2060,2060,F31476,3612.0,E,5.0,2020-03-11 16:59:20.000,2020-03-11,2020-03-11 00:00:00,2020-05-10,,1440.0,0.0,0.0
2063,2063,F31479,2385.0,E,5.0,2020-03-12 09:41:27.000,2020-03-12,2020-03-13 00:00:00,2020-04-11,,2900.0,0.0,0.0
2077,2077,F31493,6396.0,C,5.0,2020-03-13 09:29:48.000,2020-03-13,2020-03-13 00:00:00,2020-03-13,2020-03-13,2999.73,0.0,0.0
2115,2115,F31531,1429.0,E,5.0,2020-03-18 10:23:02.000,2020-03-18,2020-03-17 00:00:00,2020-04-17,,8575.0,0.0,0.0
2125,2125,F31541,3612.0,E,5.0,2020-03-18 16:05:27.000,2020-03-18,2020-03-18 00:00:00,2020-05-17,,1440.0,0.0,0.0
2141,2141,F31557,7076.0,E,5.0,2020-03-19 15:51:13.000,2020-03-19,2020-03-19 00:00:00,2020-03-19,,57.50000000000001,0.0,0.0
2148,2148,F31564,5424.0,E,5.0,2020-03-20 11:03:18.000,2020-03-20,2020-03-20 00:00:00,2020-03-20,,1341.0,0.0,0.0
2150,2150,F31566,5894.0,E,5.0,2020-03-20 11:21:18.000,2020-03-20,2020-03-20 00:00:00,2020-04-19,,7000.000000000001,0.0,0.0
2167,2167,F31583,2063.0,E,5.0,2020-03-23 11:32:21.000,2020-03-23,2020-02-18 00:00:00,2020-05-22,,14180.0,0.0,0.0
2178,2178,F31594,7075.0,E,5.0,2020-03-24 10:11:29.000,2020-03-24,2020-03-20 00:00:00,2020-03-24,,2500.0,0.0,0.0
2181,2181,F31597,161.0,E,5.0,2020-03-24 11:29:59.000,2020-03-24,2020-03-25 00:00:00,2020-04-23,,1779.0000000000002,0.0,0.0
2182,2182,F31598,161.0,E,5.0,2020-03-24 11:31:54.000,2020-03-24,2020-04-03 00:00:00,2020-04-23,,4000.000000000001,0.0,0.0
2191,2191,F31607,5894.0,E,5.0,2020-03-25 10:41:43.000,2020-03-25,2020-03-18 00:00:00,2020-04-24,,10194.0,0.0,0.0
2238,2238,F31654,5894.0,E,5.0,2020-03-31 09:19:24.000,2020-03-31,2020-03-18 00:00:00,2020-04-30,,5059.5,0.0,0.0
2246,2246,F31662,3926.0,E,5.0,2020-03-31 12:42:34.000,2020-03-31,2020-03-30 00:00:00,2020-04-30,,1100.0,0.0,0.0
2266,2266,F31682,794.0,E,5.0,2020-03-31 17:27:00.000,2020-03-31,2020-03-31 00:00:00,2020-03-31,,33250.0,0.0,0.0
2274,2274,F31690,2385.0,E,5.0,2020-03-31 17:53:01.000,2020-03-31,2020-04-06 00:00:00,2020-04-30,,46680.00000000001,0.0,0.0
2286,2286,F31702,3612.0,E,5.0,2020-04-02 12:37:47.000,2020-04-02,2020-04-02 00:00:00,2020-06-01,,2160.0,0.0,0.0
2302,2302,F31718,794.0,E,5.0,2020-04-14 10:00:56.000,2020-04-14,2020-04-06 00:00:00,2020-04-14,,33250.0,0.0,0.0
2305,2305,F31721,2995.0,E,5.0,2020-04-16 08:57:21.000,2020-04-16,2020-04-16 00:00:00,2020-04-16,,1266.4247,0.0,0.0
2310,2310,F31726,5647.0,E,5.0,2020-04-20 13:33:44.000,2020-04-20,2020-04-20 00:00:00,2020-04-20,,1050.0,0.0,0.0
2328,2328,F31744,1453.0,E,5.0,2020-04-24 11:07:09.000,2020-04-24,2020-04-14 00:00:00,2020-05-24,,8700.0,0.0,0.0
2333,2333,F31749,1289.0,E,5.0,2020-04-27 09:11:49.000,2020-04-27,2020-04-17 00:00:00,2020-05-27,,5631.18,0.0,0.0
2342,2342,F31758,8022.0,E,5.0,2020-04-27 13:37:44.000,2020-04-27,2020-04-27 00:00:00,2020-04-27,,550.0,0.0,0.0
2385,2385,F31801,6401.0,E,5.0,2020-05-05 08:35:14.000,2020-05-05,2020-04-07 00:00:00,2020-06-04,,2400.0,0.0,0.0
2395,2395,F31811,6962.0,E,5.0,2020-05-12 10:40:10.000,2020-05-12,2020-05-12 00:00:00,2020-05-12,,2058.493,0.0,0.0
2396,2396,F31812,2262.0,E,5.0,2020-05-12 11:24:29.000,2020-05-12,2020-05-12 00:00:00,2020-06-11,,2402.727,0.0,0.0
2397,2397,F31813,2261.0,E,5.0,2020-05-12 12:05:11.000,2020-05-12,2020-05-12 00:00:00,2020-05-27,,1915.6546000000003,0.0,0.0
2398,2398,F31814,3931.0,E,5.0,2020-05-12 12:26:03.000,2020-05-12,2020-05-12 00:00:00,2020-05-12,,786.9000000000001,0.0,0.0
2414,2414,F31830,8032.0,E,5.0,2020-05-18 14:25:29.000,2020-05-18,2020-05-18 00:00:00,2020-05-18,,180.00000000000003,0.0,0.0
2426,2426,F31842,3108.0,E,5.0,2020-05-20 11:52:28.000,2020-05-20,2020-05-20 00:00:00,2020-05-20,,1769.8724000000002,0.0,0.0
2444,2444,F31860,3139.0,E,5.0,2020-05-22 11:55:48.000,2020-05-22,2020-05-22 00:00:00,2020-06-06,,491.2875,0.0,0.0
2458,2458,F31874,4452.0,E,5.0,2020-05-26 11:24:14.000,2020-05-26,2020-05-21 00:00:00,2020-05-26,,396.87,0.0,0.0
2463,2463,F31879,8030.0,E,5.0,2020-05-27 09:57:52.000,2020-05-27,2020-05-22 00:00:00,2020-05-27,,6380.6900000000005,0.0,0.0
2466,2466,F31882,2385.0,E,5.0,2020-05-27 13:11:39.000,2020-05-27,2020-05-25 00:00:00,2020-06-26,,54460.0,0.0,0.0
2471,2471,F31887,1339.0,E,5.0,2020-05-28 10:34:57.000,2020-05-28,2020-05-26 00:00:00,2020-06-27,,5650.2,0.0,0.0
2475,2475,F31891,5926.0,E,5.0,2020-05-28 12:06:13.000,2020-05-28,2020-05-27 00:00:00,2020-05-28,,300.0,0.0,0.0
2504,2504,F31920,6179.0,E,5.0,2020-06-03 08:46:27.000,2020-06-03,2020-06-02 00:00:00,2020-06-03,,2755.0,0.0,0.0
2507,2507,F31923,8030.0,E,5.0,2020-06-03 10:53:42.000,2020-06-03,2020-06-01 00:00:00,2020-06-03,,990.0,0.0,0.0
2512,2512,F31928,161.0,E,5.0,2020-06-04 10:27:59.000,2020-06-04,2020-06-02 00:00:00,2020-07-04,,1500.0000000000002,0.0,0.0
2513,2513,F31929,161.0,E,5.0,2020-06-04 10:29:59.000,2020-06-04,2020-06-02 00:00:00,2020-07-04,,1500.0000000000002,0.0,0.0
2527,2527,F31943,8041.0,E,5.0,2020-06-05 14:07:30.000,2020-06-05,2020-06-02 00:00:00,2020-06-05,,1200.0,0.0,0.0
2529,2529,F31945,2385.0,E,5.0,2020-06-08 10:06:09.000,2020-06-08,2020-06-02 00:00:00,2020-07-08,,3439.92,0.0,0.0
2538,2538,F31954,359.0,E,5.0,2020-06-09 11:17:28.000,2020-06-09,2020-05-27 00:00:00,2020-06-24,,1600.0000000000002,0.0,0.0
2551,2551,F31967,5894.0,E,5.0,2020-06-12 08:47:55.000,2020-06-12,2020-06-11 00:00:00,2020-07-12,,8849.706199999999,0.0,0.0
2554,2554,F31970,6850.0,E,5.0,2020-06-12 13:32:34.000,2020-06-12,2020-06-02 00:00:00,2020-06-12,,2200.0,0.0,0.0
2562,2562,F31978,2595.0,E,5.0,2020-06-15 09:19:07.000,2020-06-15,2020-06-11 00:00:00,2020-06-15,,6120.6900000000005,0.0,0.0
2599,2599,F32015,5618.0,E,5.0,2020-06-18 11:22:17.000,2020-06-18,2020-06-18 00:00:00,2020-06-18,,344.85,0.0,0.0
2620,2620,F32036,5573.0,E,5.0,2020-06-22 12:26:22.000,2020-06-22,2020-06-21 00:00:00,2020-07-22,,6350.000000000001,0.0,0.0
2622,2622,F32038,4563.0,E,5.0,2020-06-22 12:49:19.000,2020-06-22,2020-05-26 00:00:00,2020-06-22,,2440.2000000000003,0.0,0.0
2663,2663,F32079,161.0,E,5.0,2020-06-26 10:09:12.000,2020-06-26,2020-06-02 00:00:00,2020-07-26,,1230.0,0.0,0.0
2676,2676,F32092,2385.0,E,5.0,2020-06-26 16:04:05.000,2020-06-26,2020-06-25 00:00:00,2020-07-26,,23760.000000000004,0.0,0.0
2677,2677,F32093,6426.0,E,5.0,2020-06-29 10:30:29.000,2020-06-29,2020-04-27 00:00:00,2020-06-29,,86000.0,0.0,0.0
2681,2681,F32097,3612.0,E,5.0,2020-06-29 11:34:00.000,2020-06-29,2020-06-29 00:00:00,2020-08-28,,1236.0,0.0,0.0
